vigun.IT97K-499-35.gnm1.contig_124	contig_124
vigun.IT97K-499-35.gnm1.contig_125	contig_125
vigun.IT97K-499-35.gnm1.contig_126	contig_126
vigun.IT97K-499-35.gnm1.contig_127	contig_127
vigun.IT97K-499-35.gnm1.contig_129	contig_129
vigun.IT97K-499-35.gnm1.contig_130	contig_130
vigun.IT97K-499-35.gnm1.contig_131	contig_131
vigun.IT97K-499-35.gnm1.contig_132	contig_132
vigun.IT97K-499-35.gnm1.contig_133	contig_133
vigun.IT97K-499-35.gnm1.contig_134	contig_134
vigun.IT97K-499-35.gnm1.contig_135	contig_135
vigun.IT97K-499-35.gnm1.contig_136	contig_136
vigun.IT97K-499-35.gnm1.contig_137	contig_137
vigun.IT97K-499-35.gnm1.contig_138	contig_138
vigun.IT97K-499-35.gnm1.contig_139	contig_139
vigun.IT97K-499-35.gnm1.contig_140	contig_140
vigun.IT97K-499-35.gnm1.contig_141	contig_141
vigun.IT97K-499-35.gnm1.contig_142	contig_142
vigun.IT97K-499-35.gnm1.contig_143	contig_143
vigun.IT97K-499-35.gnm1.contig_145	contig_145
vigun.IT97K-499-35.gnm1.contig_146	contig_146
vigun.IT97K-499-35.gnm1.contig_147	contig_147
vigun.IT97K-499-35.gnm1.contig_148	contig_148
vigun.IT97K-499-35.gnm1.contig_149	contig_149
vigun.IT97K-499-35.gnm1.contig_150	contig_150
vigun.IT97K-499-35.gnm1.contig_151	contig_151
vigun.IT97K-499-35.gnm1.contig_152	contig_152
vigun.IT97K-499-35.gnm1.contig_153	contig_153
vigun.IT97K-499-35.gnm1.contig_154	contig_154
vigun.IT97K-499-35.gnm1.contig_155	contig_155
vigun.IT97K-499-35.gnm1.contig_156	contig_156
vigun.IT97K-499-35.gnm1.contig_157	contig_157
vigun.IT97K-499-35.gnm1.contig_158	contig_158
vigun.IT97K-499-35.gnm1.contig_159	contig_159
vigun.IT97K-499-35.gnm1.contig_160	contig_160
vigun.IT97K-499-35.gnm1.contig_161	contig_161
vigun.IT97K-499-35.gnm1.contig_162	contig_162
vigun.IT97K-499-35.gnm1.contig_163	contig_163
vigun.IT97K-499-35.gnm1.contig_164	contig_164
vigun.IT97K-499-35.gnm1.contig_165	contig_165
vigun.IT97K-499-35.gnm1.contig_166	contig_166
vigun.IT97K-499-35.gnm1.contig_167	contig_167
vigun.IT97K-499-35.gnm1.contig_168	contig_168
vigun.IT97K-499-35.gnm1.contig_169	contig_169
vigun.IT97K-499-35.gnm1.contig_170	contig_170
vigun.IT97K-499-35.gnm1.contig_171	contig_171
vigun.IT97K-499-35.gnm1.contig_172	contig_172
vigun.IT97K-499-35.gnm1.contig_173	contig_173
vigun.IT97K-499-35.gnm1.contig_174	contig_174
vigun.IT97K-499-35.gnm1.contig_175	contig_175
vigun.IT97K-499-35.gnm1.contig_176	contig_176
vigun.IT97K-499-35.gnm1.contig_177	contig_177
vigun.IT97K-499-35.gnm1.contig_178	contig_178
vigun.IT97K-499-35.gnm1.contig_179	contig_179
vigun.IT97K-499-35.gnm1.contig_180	contig_180
vigun.IT97K-499-35.gnm1.contig_181	contig_181
vigun.IT97K-499-35.gnm1.contig_182	contig_182
vigun.IT97K-499-35.gnm1.contig_183	contig_183
vigun.IT97K-499-35.gnm1.contig_184	contig_184
vigun.IT97K-499-35.gnm1.contig_185	contig_185
vigun.IT97K-499-35.gnm1.contig_186	contig_186
vigun.IT97K-499-35.gnm1.contig_187	contig_187
vigun.IT97K-499-35.gnm1.contig_189	contig_189
vigun.IT97K-499-35.gnm1.contig_190	contig_190
vigun.IT97K-499-35.gnm1.contig_191	contig_191
vigun.IT97K-499-35.gnm1.contig_192	contig_192
vigun.IT97K-499-35.gnm1.contig_193	contig_193
vigun.IT97K-499-35.gnm1.contig_194	contig_194
vigun.IT97K-499-35.gnm1.contig_195	contig_195
vigun.IT97K-499-35.gnm1.contig_197	contig_197
vigun.IT97K-499-35.gnm1.contig_198	contig_198
vigun.IT97K-499-35.gnm1.contig_199	contig_199
vigun.IT97K-499-35.gnm1.contig_200	contig_200
vigun.IT97K-499-35.gnm1.contig_201	contig_201
vigun.IT97K-499-35.gnm1.contig_202	contig_202
vigun.IT97K-499-35.gnm1.contig_203	contig_203
vigun.IT97K-499-35.gnm1.contig_204	contig_204
vigun.IT97K-499-35.gnm1.contig_205	contig_205
vigun.IT97K-499-35.gnm1.contig_206	contig_206
vigun.IT97K-499-35.gnm1.contig_207	contig_207
vigun.IT97K-499-35.gnm1.contig_208	contig_208
vigun.IT97K-499-35.gnm1.contig_209	contig_209
vigun.IT97K-499-35.gnm1.contig_210	contig_210
vigun.IT97K-499-35.gnm1.contig_211	contig_211
vigun.IT97K-499-35.gnm1.contig_212	contig_212
vigun.IT97K-499-35.gnm1.contig_213	contig_213
vigun.IT97K-499-35.gnm1.contig_214	contig_214
vigun.IT97K-499-35.gnm1.contig_215	contig_215
vigun.IT97K-499-35.gnm1.contig_216	contig_216
vigun.IT97K-499-35.gnm1.contig_217	contig_217
vigun.IT97K-499-35.gnm1.contig_218	contig_218
vigun.IT97K-499-35.gnm1.contig_219	contig_219
vigun.IT97K-499-35.gnm1.contig_220	contig_220
vigun.IT97K-499-35.gnm1.contig_221	contig_221
vigun.IT97K-499-35.gnm1.contig_222	contig_222
vigun.IT97K-499-35.gnm1.contig_223	contig_223
vigun.IT97K-499-35.gnm1.contig_224	contig_224
vigun.IT97K-499-35.gnm1.contig_225	contig_225
vigun.IT97K-499-35.gnm1.contig_227	contig_227
vigun.IT97K-499-35.gnm1.contig_228	contig_228
vigun.IT97K-499-35.gnm1.contig_229	contig_229
vigun.IT97K-499-35.gnm1.contig_230	contig_230
vigun.IT97K-499-35.gnm1.contig_231	contig_231
vigun.IT97K-499-35.gnm1.contig_232	contig_232
vigun.IT97K-499-35.gnm1.contig_233	contig_233
vigun.IT97K-499-35.gnm1.contig_234	contig_234
vigun.IT97K-499-35.gnm1.contig_235	contig_235
vigun.IT97K-499-35.gnm1.contig_236	contig_236
vigun.IT97K-499-35.gnm1.contig_237	contig_237
vigun.IT97K-499-35.gnm1.contig_238	contig_238
vigun.IT97K-499-35.gnm1.contig_239	contig_239
vigun.IT97K-499-35.gnm1.contig_240	contig_240
vigun.IT97K-499-35.gnm1.contig_241	contig_241
vigun.IT97K-499-35.gnm1.contig_242	contig_242
vigun.IT97K-499-35.gnm1.contig_243	contig_243
vigun.IT97K-499-35.gnm1.contig_244	contig_244
vigun.IT97K-499-35.gnm1.contig_245	contig_245
vigun.IT97K-499-35.gnm1.contig_246	contig_246
vigun.IT97K-499-35.gnm1.contig_247	contig_247
vigun.IT97K-499-35.gnm1.contig_248	contig_248
vigun.IT97K-499-35.gnm1.contig_249	contig_249
vigun.IT97K-499-35.gnm1.contig_250	contig_250
vigun.IT97K-499-35.gnm1.contig_251	contig_251
vigun.IT97K-499-35.gnm1.contig_252	contig_252
vigun.IT97K-499-35.gnm1.contig_253	contig_253
vigun.IT97K-499-35.gnm1.contig_254	contig_254
vigun.IT97K-499-35.gnm1.contig_255	contig_255
vigun.IT97K-499-35.gnm1.contig_256	contig_256
vigun.IT97K-499-35.gnm1.contig_257	contig_257
vigun.IT97K-499-35.gnm1.contig_258	contig_258
vigun.IT97K-499-35.gnm1.contig_259	contig_259
vigun.IT97K-499-35.gnm1.contig_260	contig_260
vigun.IT97K-499-35.gnm1.contig_261	contig_261
vigun.IT97K-499-35.gnm1.contig_262	contig_262
vigun.IT97K-499-35.gnm1.contig_263	contig_263
vigun.IT97K-499-35.gnm1.contig_264	contig_264
vigun.IT97K-499-35.gnm1.contig_265	contig_265
vigun.IT97K-499-35.gnm1.contig_266	contig_266
vigun.IT97K-499-35.gnm1.contig_267	contig_267
vigun.IT97K-499-35.gnm1.contig_269	contig_269
vigun.IT97K-499-35.gnm1.contig_270	contig_270
vigun.IT97K-499-35.gnm1.contig_271	contig_271
vigun.IT97K-499-35.gnm1.contig_272	contig_272
vigun.IT97K-499-35.gnm1.contig_273	contig_273
vigun.IT97K-499-35.gnm1.contig_274	contig_274
vigun.IT97K-499-35.gnm1.contig_275	contig_275
vigun.IT97K-499-35.gnm1.contig_276	contig_276
vigun.IT97K-499-35.gnm1.contig_277	contig_277
vigun.IT97K-499-35.gnm1.contig_278	contig_278
vigun.IT97K-499-35.gnm1.contig_279	contig_279
vigun.IT97K-499-35.gnm1.contig_280	contig_280
vigun.IT97K-499-35.gnm1.contig_281	contig_281
vigun.IT97K-499-35.gnm1.contig_282	contig_282
vigun.IT97K-499-35.gnm1.contig_283	contig_283
vigun.IT97K-499-35.gnm1.contig_284	contig_284
vigun.IT97K-499-35.gnm1.contig_285	contig_285
vigun.IT97K-499-35.gnm1.contig_286	contig_286
vigun.IT97K-499-35.gnm1.contig_287	contig_287
vigun.IT97K-499-35.gnm1.contig_288	contig_288
